Channel,Index,Value
Left,0,0.2497
Left,1,0.1912
Left,2,0.2748
Left,3,0.3673
Left,4,0.1966
Left,5,0.2016
Left,6,0.3879
Left,7,0.3117
Left,8,0.193
Left,9,0.2992
Left,10,0.2036
Left,11,0.2083
Left,12,0.2841
Left,13,0.0735
Left,14,0.0973
Left,15,0.2185
Left,16,0.1784
Left,17,0.316
Left,18,0.1987
Left,19,0.1532
Left,20,0.4459
Left,21,0.2817
Left,22,0.3159
Left,23,0.1715
Left,24,0.2644
Left,25,0.3348
Left,26,0.2134
Left,27,0.3709
Left,28,0.2781
Left,29,0.3138
Left,30,0.2876
Left,31,0.5378
Left,32,0.3559
Left,33,0.2563
Left,34,0.449
Left,35,0.2494
Left,36,0.397
Left,37,0.1848
Left,38,0.2526
Left,39,0.4098
Left,40,0.4686
Left,41,0.4164
Left,42,0.3923
Left,43,0.3783
Left,44,0.2651
Left,45,0.3455
Left,46,0.3759
Left,47,0.5322
Left,48,0.4653
Left,49,0.259
Left,50,0.4721
Left,51,0.4056
Left,52,0.3807
Left,53,0.5139
Left,54,0.5602
Left,55,0.5545
Left,56,0.3817
Left,57,0.4389
Left,58,0.5071
Left,59,0.5757
Left,60,0.4344
Left,61,0.4679
Left,62,0.3799
Left,63,0.375
Left,64,0.5799
Left,65,0.6382
Left,66,0.4994
Left,67,0.6108
Left,68,0.5506
Left,69,0.4538
Left,70,0.5582
Left,71,0.6797
Left,72,0.5261
Left,73,0.6899
Left,74,0.2752
Left,75,0.623
Left,76,0.5532
Left,77,0.5182
Left,78,0.5608
Left,79,0.3564
Left,80,0.5367
Left,81,0.5979
Left,82,0.7134
Left,83,0.5171
Left,84,0.4915
Left,85,0.5255
Left,86,0.6705
Left,87,0.615
Left,88,0.5324
Left,89,0.6399
Left,90,0.6014
Left,91,0.6916
Left,92,0.5276
Left,93,0.568
Left,94,0.5646
Left,95,0.4604
Left,96,0.6392
Left,97,0.6385
Left,98,0.6158
Left,99,0.5946
Left,100,0.4792
Left,101,0.5814
Left,102,0.5918
Left,103,0.5484
Left,104,0.6151
Left,105,0.6741
Left,106,0.8248
Left,107,0.6561
Left,108,0.6667
Left,109,0.6359
Left,110,0.4537
Left,111,0.6452
Left,112,0.6561
Left,113,0.8985
Left,114,0.6351
Left,115,0.6865
Left,116,0.6549
Left,117,0.5435
Left,118,0.7766
Left,119,0.7394
Left,120,0.7451
Left,121,0.5769
Left,122,0.8098
Left,123,0.5311
Left,124,0.7316
Left,125,0.8935
Left,126,0.577
Left,127,0.6209
Left,128,0.689
Left,129,0.6301
Left,130,0.5267
Left,131,0.6899
Left,132,0.5781
Left,133,0.7329
Left,134,0.5948
Left,135,0.8429
Left,136,0.6106
Left,137,0.6577
Left,138,0.7723
Left,139,0.5688
Left,140,0.7155
Left,141,0.8243
Left,142,0.5336
Left,143,0.7135
Left,144,0.7217
Left,145,0.7745
Left,146,0.5732
Left,147,0.5654
Left,148,0.7501
Left,149,0.7281
Left,150,0.7238
Left,151,0.7337
Left,152,0.6314
Left,153,0.7228
Left,154,0.7291
Left,155,0.6285
Left,156,0.8865
Left,157,0.7474
Left,158,0.5808
Left,159,0.7656
Left,160,0.6023
Left,161,0.7783
Left,162,0.8153
Left,163,0.6171
Left,164,0.7951
Left,165,0.7397
Left,166,0.7802
Left,167,0.8872
Left,168,0.6725
Left,169,0.6211
Left,170,0.6069
Left,171,0.6136
Left,172,0.6867
Left,173,0.7278
Left,174,0.7205
Left,175,0.7747
Left,176,0.6924
Left,177,0.8355
Left,178,0.6626
Left,179,0.9601
Left,180,0.7495
Left,181,0.6
Left,182,0.5775
Left,183,0.7315
Left,184,0.6596
Left,185,0.752
Left,186,0.7266
Left,187,0.6705
Left,188,0.5916
Left,189,0.5233
Left,190,0.6285
Left,191,0.7571
Left,192,0.6912
Left,193,0.5435
Left,194,0.6836
Left,195,0.703
Left,196,0.5742
Left,197,0.6761
Left,198,0.6645
Left,199,0.5424
Left,200,0.6904
Left,201,0.7086
Left,202,0.7587
Left,203,0.7536
Left,204,0.5082
Left,205,0.5499
Left,206,0.6929
Left,207,0.6904
Left,208,0.6881
Left,209,0.99
Left,210,0.6887
Left,211,0.7426
Left,212,0.7219
Left,213,0.689
Left,214,0.5896
Left,215,0.6943
Left,216,0.5384
Left,217,0.5892
Left,218,0.5615
Left,219,0.6154
Left,220,0.8357
Left,221,0.4146
Left,222,0.6669
Left,223,0.434
Left,224,0.545
Left,225,0.6979
Left,226,0.5923
Left,227,0.4749
Left,228,0.5079
Left,229,0.6441
Left,230,0.4998
Left,231,0.5911
Left,232,0.5707
Left,233,0.4975
Left,234,0.7736
Left,235,0.6191
Left,236,0.3497
Left,237,0.5673
Left,238,0.4789
Left,239,0.6266
Left,240,0.4585
Left,241,0.5226
Left,242,0.5808
Left,243,0.6131
Left,244,0.4027
Left,245,0.4854
Left,246,0.4675
Left,247,0.4458
Left,248,0.6837
Left,249,0.5437
Left,250,0.3731
Left,251,0.587
Left,252,0.7034
Left,253,0.5903
Left,254,0.331
Left,255,0.4304
Left,256,0.6014
Left,257,0.3997
Left,258,0.5106
Left,259,0.5395
Left,260,0.3651
Left,261,0.4475
Left,262,0.125
Left,263,0.3423
Left,264,0.4152
Left,265,0.3112
Left,266,0.5948
Left,267,0.2841
Left,268,0.3787
Left,269,0.4313
Left,270,0.5578
Left,271,0.2656
Left,272,0.5209
Left,273,0.4011
Left,274,0.2973
Left,275,0.437
Left,276,0.4061
Left,277,0.3215
Left,278,0.3839
Left,279,0.3337
Left,280,0.3788
Left,281,0.429
Left,282,0.5166
Left,283,0.2295
Left,284,0.5618
Left,285,0.1485
Left,286,0.3238
Left,287,0.393
Left,288,0.3574
Left,289,0.2622
Left,290,0.2988
Left,291,0.2655
Left,292,0.251
Left,293,0.39
Left,294,0.3358
Left,295,0.2259
Left,296,0.3803
Left,297,0.3161
Left,298,0.3617
Left,299,0.3385
Left,300,0.1877
Left,301,0.2096
Left,302,0.3354
Left,303,0.3167
Left,304,0.2486
Left,305,0.2575
Left,306,0.3685
Left,307,0.1766
Left,308,0.2855
Left,309,0.2056
Left,310,0.199
Left,311,0.3257
Left,312,0.2933
Left,313,0.2871
Left,314,0.3313
Left,315,0.2063
Left,316,0.2774
Left,317,0.1832
Left,318,0.2516
Left,319,0.2112
Left,320,0.2389
Left,321,0.2937
Left,322,0.1573
Left,323,0.4534
Left,324,0.1485
Left,325,0.1327
Left,326,0.3749
Left,327,0.3432
Left,328,0.3314
Left,329,0.3368
Left,330,0.2776
Left,331,0.1941
Left,332,0.2963
Left,333,0.2259
Left,334,0.3961
Left,335,0.2887
Left,336,0.2258
Left,337,0.2811
Left,338,0.3594
Left,339,0.2666
Left,340,0.2455
Left,341,0.357
Left,342,0.3619
Left,343,0.2915
Left,344,0.2999
Left,345,0.375
Left,346,0.2117
Left,347,0.2205
Left,348,0.2941
Left,349,0.3494
Left,350,0.4065
Left,351,0.5276
Left,352,0.4705
Left,353,0.3734
Left,354,0.3921
Left,355,0.2983
Left,356,0.4013
Left,357,0.3788
Left,358,0.4445
Left,359,0.334
Left,360,0.4732
Left,361,0.579
Left,362,0.4193
Left,363,0.4748
Left,364,0.508
Left,365,0.4033
Left,366,0.4702
Left,367,0.4533
Left,368,0.4662
Left,369,0.3834
Left,370,0.4674
Left,371,0.5189
Left,372,0.6185
