# Kênh: Left
# Đa thức P(x) xấp xỉ: 3/25*x^0 + 7/25*x^1 + 1/20*x^2
# Đa thức Đạo hàm P'(x): 7/25*x^0 + 1/10*x^1
Channel,Index,Original_Value,Horner_P(x),Derivative_P'(x)
Left,0,0.12,3/25,7/25
Left,1,0.45,9/20,19/50
Left,2,0.88,22/25,12/25
Left,3,0.32,141/100,29/50
Left,4,0.15,51/25,17/25

# Kênh: Right
# Đa thức P(x) xấp xỉ: 11/50*x^0 + 143/200*x^1 + -37/200*x^2
# Đa thức Đạo hàm P'(x): 143/200*x^0 + -37/100*x^1
Channel,Index,Original_Value,Horner_P(x),Derivative_P'(x)
Right,0,0.22,11/50,143/200
Right,1,0.75,3/4,69/200
Right,2,0.91,91/100,-1/40

